App,Rating,Size_Megabytes,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Android Ver,Genres_1,Genres_description
ROBLOX,4.5,67.0,"100,000,000+",Free,0.0,Everyone 10+,"July 31, 2018",2.347.225742,4.1 and up,Adventure,Action & Adventure
Subway Surfers,4.5,76.0,"1,000,000,000+",Free,0.0,Everyone 10+,"July 12, 2018",1.90.0,4.1 and up,Arcade,No description
Candy Crush Saga,4.4,74.0,"500,000,000+",Free,0.0,Everyone,"July 5, 2018",1.129.0.2,4.1 and up,Casual,No description
Solitaire,4.7,23.0,"10,000,000+",Free,0.0,Everyone,"August 1, 2018",2.137.0,4.1 and up,Card,No description
Bubble Shooter,4.5,46.0,"10,000,000+",Free,0.0,Everyone,"July 17, 2018",1.20.1,4.0.3 and up,Casual,No description
Hello Kitty Nail Salon,4.2,24.0,"50,000,000+",Free,0.0,Everyone,"April 17, 2018",1.5,4.1 and up,Casual,Pretend Play
slither.io,4.4,Not informed,"100,000,000+",Free,0.0,Everyone,"November 14, 2017",Varies with device,2.3 and up,Action,No description
Clash Royale,4.6,97.0,"100,000,000+",Free,0.0,Everyone 10+,"June 27, 2018",2.3.2,4.1 and up,Strategy,No description
Temple Run 2,4.3,62.0,"500,000,000+",Free,0.0,Everyone,"July 5, 2018",1.49.1,4.0 and up,Action,No description
Pou,4.3,24.0,"500,000,000+",Free,0.0,Everyone,"May 25, 2018",1.4.77,4.0 and up,Casual,No description
Helix Jump,4.2,33.0,"100,000,000+",Free,0.0,Everyone,"April 9, 2018",1.0.6,4.1 and up,Action,No description
Block Puzzle,4.6,7.8,"5,000,000+",Free,0.0,Everyone,"March 6, 2018",2.9,2.3 and up,Puzzle,No description
Angry Birds Rio,4.4,46.0,"100,000,000+",Free,0.0,Everyone,"July 3, 2018",2.6.9,4.1 and up,Arcade,No description
Plants vs. Zombies FREE,4.4,69.0,"100,000,000+",Free,0.0,Everyone 10+,"July 6, 2018",2.2.00,4.1 and up,Strategy,No description
Sonic Dash,4.5,75.0,"100,000,000+",Free,0.0,Everyone,"July 26, 2018",3.8.5.Go,4.1 and up,Arcade,No description
Candy Crush Soda Saga,4.4,67.0,"100,000,000+",Free,0.0,Everyone,"July 10, 2018",1.118.4,4.1 and up,Casual,No description
Zombie Hunter King,4.3,50.0,"1,000,000+",Free,0.0,Mature 17+,"August 1, 2018",1.0.8,2.3 and up,Action,No description
Clash of Clans,4.6,98.0,"100,000,000+",Free,0.0,Everyone 10+,"July 15, 2018",10.322.16,4.1 and up,Strategy,No description
Kick the Buddy,4.3,Not informed,"50,000,000+",Free,0.0,Teen,"July 5, 2018",Varies with device,4.4 and up,Action,No description
Block Puzzle Classic Legend !,4.2,4.9,"5,000,000+",Free,0.0,Everyone,"April 13, 2018",2.9,2.3.3 and up,Puzzle,No description
PAC-MAN,4.2,37.0,"100,000,000+",Free,0.0,Everyone,"May 15, 2018",6.6.3,4.1 and up,Arcade,No description
